4393	È un gioco di parole.	3373669	Je to slovní hříčka.
4404	Dubitare di sé stessi è il primo segno di intelligenza.	1133193	Pochybování o sobě samém je první známka inteligence.
4416	Il mondo è una gabbia di matti.	1058203	Svět je blázinec.
4424	Grazie, è tutto.	1626990	Děkuji, to je vše.
4426	Che ore sono?	1041629	Kolik je hodin?
4440	La vita è quello che ti succede mentre sei impegnato a fare altri progetti.	1700772	Život je to, co se ti stane, zatímco se zabýváš jinými plány.
4468	Roma non fu fatta in un giorno.	1138595	Řím nebyl postaven za den.
4497	La vita è bella!	3469358	Život je krásný.
4504	Ti ho sognato.	1662104	Zdálo se mi o tobě.
342177	In questi giorni piove sempre.	1691915	V těchto dnech pořád prší.
350319	Mio padre è un po' antiquato.	1657768	Můj otec je poněkud staromódní.
350341	Entrata nella camera da letto, iniziò a singhiozzare.	1691991	Vstupivši do ložnice, začala vzlykat.
350440	Mi guardò negli occhi.	1502507	Podíval se mi do očí.
350548	Se avessi saputo della tua malattia, ti sarei venuto a trovare in ospedale.	1497942	Kdybych byl býval věděl o tvém onemocnění, navštívil bych tě v nemocnici.
350582	Era in tempo per l'appuntamento.	1663801	Byl na schůzce včas.
350628	La malaria è una malattia portata dalle zanzare.	1497943	Malárie je nemoc přenášená komáry.
350929	Il capo ci ordinò di lavorare da mattina a sera.	1133197	Šéf si nás najal, abychom pracovali od rána do večera.
351067	Quanto è profondo questo lago?	1499189	Jak je toto jezero hluboké?
351122	Fu investita da un'auto mentre attraversava la strada.	1700782	Byla sražena autem, když přecházela silnici.
359450	Pesa di più il piombo o l'oro?	2207003	Je těžší olovo, nebo zlato?
359476	Vaffanculo!	1059544	Jdi do prdele!
373740	Ecco il mio portafoglio.	1499209	Tady je moje peněženka.
373942	Crede ai fantasmi.	1662079	Věřím na duchy.
374197	Ho sempre fame.	1662073	Mám stále hlad.
374410	Lavati le mani prima di mangiare.	2268335	Umyjte si před jídlem ruce.
374434	Sono di Tokyo.	1750826	Já jsem z Tokia.
374455	Ha nevicato a Osaka.	1700727	V Osace sněžilo.
374456	Vive a Osaka.	1700728	Žije v Osace.
374460	Non mi piace l'atmosfera inquinata delle grandi città.	1700729	Nelíbí se mi znečištěné ovzduší velkých měst.
